,yr,service,calltime,callsource,nature,secs_to_disp,secs_to_arrv,secs_to_close,priority,primeunit,month,response_time
44,2014,LAW ,2014-01-01 01:55:39,PHONE,TRANSPORT,1213.0,1833.0,2339,5,CAHOT,1,10.333333333333334
153,2014,LAW ,2014-01-01 12:50:34,PHONE,TRANSPORT,396.0,545.0,744,5,CAHOT,1,2.4833333333333334
170,2014,LAW ,2014-01-01 13:29:17,PHONE,TRANSPORT,505.0,2409.0,4116,5,CAHOT,1,31.733333333333334
176,2014,LAW ,2014-01-01 13:38:38,PHONE,SUBJECT DOWN,36.0,600.0,1680,1,CAHOT,1,9.4
186,2014,LAW ,2014-01-01 14:05:20,PHONE,ASSIST,1955.0,2667.0,6396,5,CAHOT,1,11.866666666666667
210,2014,LAW ,2014-01-01 15:04:16,PHONE,TRANSPORT,1641.0,2241.0,6877,5,CAHOT,1,10.0
231,2014,LAW ,2014-01-01 15:52:44,PHONE,ASSIST,227.0,544.0,730,5,CAHOT,1,5.283333333333333
241,2014,LAW ,2014-01-01 16:18:34,PHONE,WELFARE CHECK,828.0,853.0,1717,5,CAHOT,1,0.4166666666666667
244,2014,LAW ,2014-01-01 16:22:07,PHONE,ASSIST,1506.0,2755.0,3044,5,CAHOT,1,20.816666666666666
245,2014,LAW ,2014-01-01 16:22:52,PHONE,TRANSPORT,2185.0,2187.0,3912,5,CAHOT,1,0.03333333333333333
263,2014,LAW ,2014-01-01 17:27:41,PHONE,TRANSPORT,322.0,649.0,1319,5,CAHOT,1,5.45
265,2014,LAW ,2014-01-01 17:31:40,PHONE,TRAFFIC ISSUE,1134.0,1441.0,1740,3,CAHOT,1,5.116666666666666
290,2014,LAW ,2014-01-01 18:19:41,PHONE,WELFARE CHECK,465.0,1110.0,2364,5,CAHOT,1,10.75
301,2014,LAW ,2014-01-01 18:49:02,PHONE,TRANSPORT,2860.0,3283.0,4328,5,CAHOT,1,7.05
329,2014,LAW ,2014-01-01 20:47:06,PHONE,ASSIST,108.0,505.0,1190,5,CAHOT,1,6.616666666666666
330,2014,LAW ,2014-01-01 21:08:01,PHONE,TRANSPORT,57.0,771.0,1024,5,CAHOT,1,11.9
363,2014,LAW ,2014-01-01 23:28:39,PHONE,TRESPASSING,483.0,987.0,4203,3,CAHOT,1,8.4
374,2014,LAW ,2014-01-02 00:23:04,PHONE,TRANSPORT,963.0,1183.0,3656,5,CAHOT,1,3.6666666666666665
388,2014,LAW ,2014-01-02 01:25:52,W911,DISPUTE,155.0,452.0,4795,3,CAHOT,1,4.95
482,2014,LAW ,2014-01-02 10:42:44,PHONE,FOUND CONTRABAND,4055.0,5918.0,9086,5,CAHOT,1,31.05
492,2014,LAW ,2014-01-02 11:19:34,E911,WELFARE CHECK,1121.0,1545.0,1844,5,CAHOT,1,7.066666666666666
528,2014,LAW ,2014-01-02 12:38:06,PHONE,ASSIST,5940.0,6399.0,10282,5,CAHOT,1,7.65
538,2014,LAW ,2014-01-02 13:07:05,PHONE,WELFARE CHECK,2958.0,3763.0,4196,5,CAHOT,1,13.416666666666666
562,2014,LAW ,2014-01-02 14:20:20,PHONE,TRANSPORT,4150.0,4934.0,7909,5,CAHOT,1,13.066666666666666
626,2014,LAW ,2014-01-02 17:11:57,PHONE,SUBJECT DOWN,83.0,1350.0,5405,1,CAHOT,1,21.116666666666667
630,2014,LAW ,2014-01-02 17:35:16,PHONE,WELFARE CHECK,1436.0,2675.0,3493,5,CAHOT,1,20.65
645,2014,LAW ,2014-01-02 18:29:25,W911,WELFARE CHECK,577.0,1559.0,2082,5,CAHOT,1,16.366666666666667
659,2014,LAW ,2014-01-02 19:02:21,PHONE,DISORDERLY CONDUCT,2308.0,2578.0,5416,3,CAHOT,1,4.5
684,2014,LAW ,2014-01-02 20:46:03,PHONE,TRANSPORT,104.0,1836.0,1975,5,CAHOT,1,28.866666666666667
706,2014,LAW ,2014-01-02 21:48:17,PHONE,DISORDERLY CONDUCT,320.0,343.0,1124,3,CAHOT,1,0.38333333333333336
716,2014,LAW ,2014-01-02 22:17:52,PHONE,TRANSPORT,417.0,1307.0,3383,5,CAHOT,1,14.833333333333334
730,2014,LAW ,2014-01-02 23:11:31,PHONE,INTOXICATED PERSON,554.0,706.0,1064,3,CAHOT,1,2.533333333333333
759,2014,LAW ,2014-01-03 00:55:48,PHONE,TRANSPORT,465.0,7357.0,8133,5,CAHOT,1,114.86666666666666
767,2014,LAW ,2014-01-03 01:23:23,PHONE,ASSIST,376.0,2722.0,5425,5,CAHOT,1,39.1
831,2014,LAW ,2014-01-03 10:04:44,PHONE,WELFARE CHECK,3538.0,4999.0,5375,5,CAHOT,1,24.35
837,2014,LAW ,2014-01-03 10:29:39,PHONE,TRANSPORT,3891.0,4973.0,5940,5,CAHOT,1,18.033333333333335
876,2014,LAW ,2014-01-03 13:10:46,PHONE,WELFARE CHECK,1042.0,1594.0,2414,5,CAHOT,1,9.2
894,2014,LAW ,2014-01-03 13:34:10,PHONE,TRANSPORT,1021.0,1305.0,2236,5,CAHOT,1,4.733333333333333
921,2014,LAW ,2014-01-03 14:49:41,PHONE,TRANSPORT,209.0,1734.0,6031,5,CAHOT,1,25.416666666666668
933,2014,LAW ,2014-01-03 15:05:53,PHONE,TRANSPORT,6291.0,6661.0,8314,5,CAHOT,1,6.166666666666667
958,2014,LAW ,2014-01-03 16:27:45,PHONE,ASSIST,1636.0,2958.0,6789,5,CAHOT,1,22.033333333333335
970,2014,LAW ,2014-01-03 17:20:58,PHONE,TRANSPORT,2026.0,2429.0,3329,5,CAHOT,1,6.716666666666667
977,2014,LAW ,2014-01-03 17:37:29,PHONE,WELFARE CHECK,2345.0,2702.0,3172,5,CAHOT,1,5.95
993,2014,LAW ,2014-01-03 18:49:16,PHONE,ASSIST,124.0,1150.0,1441,5,CAHOT,1,17.1
1000,2014,LAW ,2014-01-03 19:17:28,PHONE,TRANSPORT,116.0,1065.0,2635,5,CAHOT,1,15.816666666666666
1010,2014,LAW ,2014-01-03 19:43:47,PHONE,WELFARE CHECK,432.0,1515.0,2353,5,CAHOT,1,18.05
1017,2014,LAW ,2014-01-03 20:11:38,PHONE,WELFARE CHECK,63.0,560.0,2746,5,CAHOT,1,8.283333333333333
1023,2014,LAW ,2014-01-03 20:36:04,PHONE,TRANSPORT,109.0,123.0,1635,5,CAHOT,1,0.23333333333333334
1029,2014,LAW ,2014-01-03 21:01:37,PHONE,TRANSPORT,114.0,1984.0,3067,5,CAHOT,1,31.166666666666668
1048,2014,LAW ,2014-01-03 22:06:41,PHONE,TRANSPORT,221.0,580.0,2594,5,CAHOT,1,5.983333333333333
1089,2014,LAW ,2014-01-03 23:59:10,PHONE,ASSIST,130.0,1610.0,5316,5,CAHOT,1,24.666666666666668
1093,2014,LAW ,2014-01-04 00:07:46,PHONE,TRANSPORT,5881.0,6021.0,6312,5,CAHOT,1,2.3333333333333335
1185,2014,LAW ,2014-01-04 10:59:23,PHONE,TRANSPORT,2717.0,2719.0,3742,5,CAHOT,1,0.03333333333333333
1186,2014,LAW ,2014-01-04 11:00:27,E911,ASSIST,312.0,1979.0,2648,5,CAHOT,1,27.783333333333335
1207,2014,LAW ,2014-01-04 12:17:21,PHONE,TRANSPORT,456.0,1322.0,2345,5,CAHOT,1,14.433333333333334
1236,2014,LAW ,2014-01-04 14:16:25,PHONE,TRANSPORT,98.0,637.0,1818,5,CAHOT,1,8.983333333333333
1246,2014,LAW ,2014-01-04 14:41:57,PHONE,WELFARE CHECK,9491.0,10094.0,11613,4,CAHOT,1,10.05
1262,2014,LAW ,2014-01-04 15:50:27,PHONE,TRANSPORT,109.0,786.0,2360,5,CAHOT,1,11.283333333333333
1272,2014,LAW ,2014-01-04 16:12:40,W911,SUBJECT DOWN,135.0,673.0,926,1,CAHOT,1,8.966666666666667
1274,2014,LAW ,2014-01-04 16:24:46,PHONE,WELFARE CHECK,336.0,1126.0,1307,5,CAHOT,1,13.166666666666666
1280,2014,LAW ,2014-01-04 17:03:45,W911,SUBJECT DOWN,68.0,175.0,2987,5,CAHOT,1,1.7833333333333334
1284,2014,LAW ,2014-01-04 17:38:45,PHONE,WELFARE CHECK,893.0,1227.0,1576,5,CAHOT,1,5.566666666666666
1303,2014,LAW ,2014-01-04 19:05:25,PHONE,TRAFFIC ISSUE,264.0,595.0,762,3,CAHOT,1,5.516666666666667
1314,2014,LAW ,2014-01-04 19:41:38,PHONE,ASSIST,90.0,559.0,2559,5,CAHOT,1,7.816666666666666
1319,2014,LAW ,2014-01-04 19:50:58,PHONE,TRANSPORT,226.0,1163.0,1872,5,CAHOT,1,15.616666666666667
1324,2014,LAW ,2014-01-04 20:04:17,PHONE,TRANSPORT,1094.0,1371.0,2797,5,CAHOT,1,4.616666666666666
1328,2014,LAW ,2014-01-04 20:32:19,PHONE,TRANSPORT,95.0,110.0,1708,5,CAHOT,1,0.25
1356,2014,LAW ,2014-01-04 22:28:20,PHONE,TRANSPORT,511.0,1017.0,2037,5,CAHOT,1,8.433333333333334
1393,2014,LAW ,2014-01-05 00:05:25,PHONE,ASSIST,309.0,831.0,1609,5,CAHOT,1,8.7
1397,2014,LAW ,2014-01-05 00:15:24,PHONE,TRANSPORT,1022.0,1330.0,5043,5,CAHOT,1,5.133333333333334
1414,2014,LAW ,2014-01-05 01:32:00,PHONE,ASSIST,467.0,470.0,1638,5,CAHOT,1,0.05
1483,2014,LAW ,2014-01-05 11:27:37,PHONE,WELFARE CHECK,550.0,1080.0,3611,5,CAHOT,1,8.833333333333334
1486,2014,LAW ,2014-01-05 11:49:48,PHONE,ASSIST,2316.0,2481.0,3818,5,CAHOT,1,2.75
